0,1,2,3,4,5,6
2,0,0,3,0,85,0
2,0,0,3,0,205,0
2,0,0,3,0,46,0
2,0,0,3,0,85,0
2,0,0,3,0,85,0
2,0,0,3,0,135,0
2,0,0,3,0,44,0
2,0,0,3,0,44,0
2,0,0,3,0,46,0
2,0,0,3,0,85,0
2,0,0,3,0,205,0
2,0,0,3,0,205,0
2,0,0,3,0,205,0
2,0,0,3,0,135,0
2,0,0,3,0,135,0
2,0,0,3,0,85,0
2,0,0,3,0,85,0
2,0,0,3,0,205,0
2,0,0,3,0,85,0
2,0,0,3,0,85,0
2,0,0,3,0,46,0
2,0,0,3,0,85,0
2,0,0,3,0,44,0
2,0,0,3,0,135,0
2,0,0,3,0,46,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
